        T              Rev             ST             Date            Time              X               Y               Z              Vx              Vy              Vz              Xg              Yg              Zg               A               E               W               i             Node            Long             Lat      
 2.400000E+0001               0  3.541181E+0000        19/03/24        12:24:00  5.058399E+0002 -1.062899E+0003  7.058693E+0003 -7.438625E+0000 -7.993997E-0002  5.171520E-0001  4.285718E+0002 -1.089071E+0003  7.059818E+0003  7.144207E+0003  1.751325E-0003  2.489506E+0002  9.856438E+0001  1.584347E-0002 -6.851935E+0001  8.058722E+0001 
 2.500000E+0001               0  3.791866E+0000        19/03/24        12:25:00  5.882698E+0001 -1.065622E+0003  7.075920E+0003 -7.456967E+0000 -1.080795E-0002  5.688743E-0002 -2.258911E+0001 -1.066497E+0003  7.075997E+0003  7.144122E+0003  1.719032E-0003  2.539879E+0002  9.856443E+0001  1.721611E-0002 -9.121338E+0001  8.142698E+0001 
 2.600000E+0001               0  4.042550E+0000        19/03/24        12:26:00 -3.884152E+0002 -1.064195E+0003  7.065514E+0003 -7.446263E+0000  5.837190E-0002 -4.036367E-0001 -4.734295E+0002 -1.035842E+0003  7.064543E+0003  7.144178E+0003  1.671436E-0003  2.590052E+0002  9.856440E+0001  1.858928E-0002 -1.145627E+0002  8.084190E+0001 
 2.700000E+0001               0  4.293235E+0000        19/03/24        12:27:00 -8.341444E+0002 -1.058622E+0003  7.027514E+0003 -7.406551E+0000  1.273328E-0001 -8.626398E-0001 -9.221317E+0002 -9.972365E+0002  7.025498E+0003  7.144374E+0003  1.608828E-0003  2.640156E+0002  9.856428E+0001  1.995226E-0002 -1.327592E+0002  7.905802E+0001 
 2.800000E+0001               0  4.543919E+0000        19/03/24        12:28:00 -1.276624E+0003 -1.048924E+0003  6.962063E+0003 -7.337974E+0000  1.958087E-0001 -1.318346E+0000 -1.366887E+0003 -9.508555E+0002  6.959011E+0003  7.144708E+0003  1.531738E-0003  2.690346E+0002  9.856409E+0001  2.129448E-0002 -1.451761E+0002  7.654381E+0001 
 2.900000E+0001               0  4.794604E+0000        19/03/24        12:29:00 -1.714129E+0003 -1.035140E+0003  6.869414E+0003 -7.240787E+0000  2.635351E-0001 -1.768991E+0000 -1.805903E+0003 -8.969206E+0002  6.865336E+0003  7.145174E+0003  1.440923E-0003  2.740815E+0002  9.856381E+0001  2.260570E-0002 -1.535882E+0002  7.363232E+0001 
 3.000000E+0001               0  5.045288E+0000        19/03/24        12:30:00 -2.144953E+0003 -1.017320E+0003  6.749921E+0003 -7.115352E+0000  3.302500E-0001 -2.212827E+0000 -2.237411E+0003 -8.356983E+0002  6.744835E+0003  7.145765E+0003  1.337364E-0003  2.791812E+0002  9.856346E+0001  2.387616E-0002 -1.595188E+0002  7.050062E+0001 
 3.100000E+0001               0  5.295973E+0000        19/03/24        12:31:00 -2.567416E+0003 -9.955350E+0002  6.604045E+0003 -6.962142E+0000  3.956950E-0001 -2.648129E+0000 -2.659673E+0003 -7.674983E+0002  6.597970E+0003  7.146471E+0003  1.222259E-0003  2.843683E+0002  9.856304E+0001  2.509675E-0002 -1.639035E+0002  6.723937E+0001 
 3.200000E+0001               0  5.546657E+0000        19/03/24        12:32:00 -2.979866E+0003 -9.698674E+0002  6.432350E+0003 -6.781733E+0000  4.596159E-0001 -3.073204E+0000 -3.070989E+0003 -6.926730E+0002  6.425310E+0003  7.147282E+0003  1.097012E-0003  2.896933E+0002  9.856255E+0001  2.625913E-0002 -1.672894E+0002  6.389705E+0001 
 3.300000E+0001               0  5.797341E+0000        19/03/24        12:33:00 -3.380693E+0003 -9.404165E+0002  6.235498E+0003 -6.574809E+0000  5.217642E-0001 -3.486393E+0000 -3.469702E+0003 -6.116147E+0002  6.227520E+0003  7.148186E+0003  9.632281E-0004  2.952351E+0002  9.856201E+0001  2.735588E-0002 -1.700030E+0002  6.050116E+0001 
 3.400000E+0001               0  6.048026E+0000        19/03/24        12:34:00 -3.768329E+0003 -9.072960E+0002  6.014253E+0003 -6.342154E+0000  5.818974E-0001 -3.886081E+0000 -3.854207E+0003 -5.247546E+0002  6.005368E+0003  7.149167E+0003  8.227314E-0004  3.011267E+0002  9.856143E+0001  2.838061E-0002 -1.722468E+0002  5.706827E+0001 
 3.500000E+0001               0  6.298710E+0000        19/03/24        12:35:00 -4.141255E+0003 -8.706338E+0002  5.769470E+0003 -6.084655E+0000  6.397803E-0001 -4.270700E+0000 -4.222958E+0003 -4.325604E+0002  5.759713E+0003  7.150212E+0003  6.775796E-0004  3.076133E+0002  9.856081E+0001  2.932805E-0002 -1.741516E+0002  5.360885E+0001 
 3.600000E+0001               0  6.549395E+0000        19/03/24        12:36:00 -4.498010E+0003 -8.305719E+0002  5.502100E+0003 -5.803297E+0000  6.951860E-0001 -4.638738E+0000 -4.574472E+0003 -3.355340E+0002  5.491510E+0003  7.151303E+0003  5.302372E-0004  3.152048E+0002  9.856016E+0001  3.019414E-0002 -1.758049E+0002  5.012982E+0001 
 3.700000E+0001               0  6.800079E+0000        19/03/24        12:37:00 -4.837195E+0003 -7.872654E+0002  5.213182E+0003 -5.499159E+0000  7.478964E-0001 -4.988744E+0000 -4.907336E+0003 -2.342088E+0002  5.201799E+0003  7.152423E+0003  3.840985E-0004  3.251507E+0002  9.855949E+0001  3.097611E-0002 -1.772676E+0002  4.663593E+0001 
 3.800000E+0001               0  7.050764E+0000        19/03/24        12:38:00 -5.157477E+0003 -7.408824E+0002  4.903839E+0003 -5.173412E+0000  7.977037E-0001 -5.319333E+0000 -5.220214E+0003 -1.291475E+0002  4.891708E+0003  7.153555E+0003  2.458528E-0004  3.413389E+0002  9.855882E+0001  3.167249E-0002 -1.785828E+0002  4.313054E+0001 
 3.900000E+0001               0  7.301448E+0000        19/03/24        12:39:00 -5.457597E+0003 -6.916030E+0002  4.575277E+0003 -4.827314E+0000  8.444106E-0001 -5.629193E+0000 -5.511851E+0003 -2.093880E+0001  4.562445E+0003  7.154682E+0003  1.401680E-0004  1.879167E+0001  9.855815E+0001  3.228315E-0002 -1.797823E+0002  3.961612E+0001 
 4.000000E+0001               0  7.552133E+0000        19/03/24        12:40:00 -5.736374E+0003 -6.396188E+0002  4.228776E+0003 -4.462208E+0000  8.878319E-0001 -5.917092E+0000 -5.781080E+0003  8.980546E+0001  4.215293E+0003  7.155785E+0003  1.500737E-0004  8.295416E+0001  9.855750E+0001  3.280930E-0002  1.791100E+0002  3.609449E+0001 
 4.100000E+0001               0  7.802817E+0000        19/03/24        12:41:00 -5.992710E+0003 -5.851323E+0002  3.865688E+0003 -4.079511E+0000  9.277946E-0001 -6.181880E+0000 -6.026826E+0003  2.024533E+0002  3.851608E+0003  7.156847E+0003  2.534784E-0004  1.146147E+0002  9.855687E+0001  3.325347E-0002  1.780760E+0002  3.256707E+0001 
 4.200000E+0001               0  8.053502E+0000        19/03/24        12:42:00 -6.225594E+0003 -5.283559E+0002  3.487433E+0003 -3.680719E+0000  9.641392E-0001 -6.422498E+0000 -6.248110E+0003  3.163562E+0002  3.472811E+0003  7.157852E+0003  3.716515E-0004  1.291388E+0002  9.855628E+0001  3.361946E-0002  1.771015E+0002  2.903495E+0001 
